title,description,course_url,topics,available_videos,id,view_count,popularity_score
Public Transportation Systems,"This course discusses the evolution and role of urban public transportation modes, systems, and services, focusing on bus and rail. It covers various topics, including current practice and new methods for data collection and analysis, performance monitoring, route design, frequency determination, vehicle and crew scheduling, effect of pricing policy and service quality on ridership.",https://ocw.mit.edu/courses/1-258j-public-transportation-systems-spring-2017/,"['Engineering', 'Civil Engineering', 'Transportation Engineering', 'Social Science', 'Urban Studies', 'Transportation Planning']",17,1,85464,0.13157894736842105
Dynamics and Control I,"<p>This class is an introduction to the dynamics and vibrations of lumped-parameter models of mechanical systems. Topics include kinematics; force-momentum formulation for systems of particles and rigid bodies in planar motion; work-energy concepts; virtual displacements and virtual work; Lagrange’s equations for systems of particles and rigid bodies in planar motion; linearization of equations of motion; linear stability analysis of mechanical systems; free and forced vibration of linear multi-degree of freedom models of mechanical systems; and matrix eigenvalue problems. The class includes an introduction to numerical methods and using MATLAB® to solve dynamics and vibrations problems.</p>
<p>This version of the class stresses kinematics and builds around a strict but powerful approach to kinematic formulation which is different from the approach presented in Spring 2007. Our notation was adapted from that of Professor Kane of Stanford University.</p>
",https://ocw.mit.edu/courses/2-003j-dynamics-and-control-i-fall-2007/,"['Engineering', 'Mechanical Engineering', 'Dynamics and Control', 'Mathematics', 'Applied Mathematics']",9,2,140190,0.21052631578947367
Engineering Math: Differential Equations and Linear Algebra,"This course is about the mathematics that is most widely used in the mechanical engineering core subjects: An introduction to linear algebra and ordinary differential equations (ODEs), including general numerical approaches to solving systems of equations.",https://ocw.mit.edu/courses/2-087-engineering-math-differential-equations-and-linear-algebra-fall-2014/,"['Engineering', 'Mechanical Engineering', 'Mathematics', 'Applied Mathematics', 'Differential Equations', 'Linear Algebra']",4,4,236457,0.3157894736842105
Nano-to-Macro Transport Processes,"Parallel treatments of photons, electrons, phonons, and molecules as energy carriers, aiming at fundamental understanding and descriptive tools for energy and heat transport processes from nanoscale continuously to macroscale. Topics include the energy levels, the statistical behavior and internal energy, energy transport in the forms of waves and particles, scattering and heat generation processes, Boltzmann equation and derivation of classical laws, deviation from classical laws at nanoscale and their appropriate descriptions, with applications in nano- and microtechnology.",https://ocw.mit.edu/courses/2-57-nano-to-macro-transport-processes-spring-2012/,"['Energy', 'Technology', 'Engineering', 'Mechanical Engineering', 'Nanotechnology', 'Science', 'Physics', 'Quantum Mechanics']",25,5,712678,0.5789473684210527
Fundamentals of Photovoltaics,"<p>Fundamentals of photoelectric conversion: charge excitation, conduction, separation, and collection. Lectures cover commercial and emerging photovoltaic technologies and cross-cutting themes, including conversion efficiencies, loss mechanisms, characterization, manufacturing, systems, reliability, life-cycle analysis, risk analysis, and technology evolution in the context of markets, policies, society, and environment.</p>
<p>This course is one of many <a href=""/courses/energy-courses/"">OCW Energy Courses</a>, and it is an elective subject in MIT’s undergraduate <a href=""http://mitei.mit.edu/education/energy-minor/"" target=""_blank"" rel=""noopener"">Energy Studies Minor</a>. This Institute–wide program complements the deep expertise obtained in any major with a broad understanding of the interlinked realms of science, technology, and social sciences as they relate to energy and associated environmental challenges.</p>
",https://ocw.mit.edu/courses/2-627-fundamentals-of-photovoltaics-fall-2013/,"['Business', 'Innovation', 'Energy', 'Electricity', 'Renewables', 'Engineering', 'Chemical Engineering', 'Transport Processes', 'Electrical Engineering', 'Electric Power', 'Materials Science and Engineering', 'Electronic Materials', 'Science', 'Physics', 'Atomic, Molecular, Optical Physics']",20,6,434352,0.49122807017543857
Optics,"This course provides an introduction to optical science with elementary engineering applications. Topics covered in geometrical optics include: ray-tracing, aberrations, lens design, apertures and stops, radiometry and photometry. Topics covered in wave optics include: basic electrodynamics, polarization, interference, wave-guiding, Fresnel and Fraunhofer diffraction, image formation, resolution, space-bandwidth product. Analytical and numerical tools used in optical design are emphasized. Graduate students are required to complete assignments with stronger analytical content, and an advanced design project.",https://ocw.mit.edu/courses/2-71-optics-spring-2009/,"['Science', 'Physics', 'Atomic, Molecular, Optical Physics', 'Electromagnetism', 'Quantum Mechanics']",23,7,311585,0.4298245614035088
Control of Manufacturing Processes (SMA 6303),"This course explores statistical modeling and control in manufacturing processes. Topics include the use of experimental design and response surface modeling to understand manufacturing process physics, as well as defect and parametric yield modeling and optimization. Various forms of process control, including statistical process control, run by run and adaptive control, and real-time feedback control, are covered. Application contexts include semiconductor manufacturing, conventional metal and polymer processing, and emerging micro-nano manufacturing processes.",https://ocw.mit.edu/courses/2-830j-control-of-manufacturing-processes-sma-6303-spring-2008/,"['Engineering', 'Chemical Engineering', 'Process Control Systems', 'Mechanical Engineering', 'Microtechnology', 'Nanotechnology', 'Systems Engineering', 'Mathematics', 'Probability and Statistics']",22,8,196226,0.2894736842105263
Special Topics in Mechanical Engineering: The Art and Science of Boat Design,"<p>This class is jointly sponsored by the MIT Museum, Massachusetts Bay Maritime Artisans, the Department of Mechanical Engineering’s Center for Ocean Engineering, and the Department of Architecture. The course teaches the fundamental steps in traditional boat design and demonstrates connections between craft and modern methods. Instructors provide vessel design orientation and then students carve their own shape ideas in the form of a wooden half-hull model. Experts teach the traditional skills of visualizing and carving your model in this phase of the class. After the models are completed, a practicing naval architect guides students in translating shape from models into a lines plan. The final phase of the class is a comparative analysis of the designs generated by the group.</p>
<p>This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.</p>
",https://ocw.mit.edu/courses/2-993-special-topics-in-mechanical-engineering-the-art-and-science-of-boat-design-january-iap-2007/,"['Engineering', 'Mechanical Engineering', 'Mechanical Design', 'Ocean Engineering']",5,9,114169,0.19298245614035087
"Cellular Solids: Structure, Properties and Applications","This course reviews the processing and structure of cellular materials as they are created from polymers, metals, ceramics, glasses, and composites, develops models for the mechanical behavior of cellular solids, and shows how the unique properties of honeycombs and foams are exploited in applications such as lightweight structural panels, energy absorption devices and thermal insulation. The applications of cellular solids in medicine include increased fracture risk due to trabecular bone loss in patients with osteoporosis, the development of metal foam coatings for orthopaedic implants, and designing porous scaffolds for tissue engineering that mimic the extracellular matrix. Modelling of cellular materials applied to natural materials and biomimicking is explored. Students taking the graduate version of the class are required to complete additional assignments.",https://ocw.mit.edu/courses/3-054-cellular-solids-structure-properties-and-applications-spring-2015/,"['Engineering', 'Biological Engineering', 'Cell and Tissue Engineering', 'Materials Science and Engineering', 'Mechanical Engineering']",20,13,224633,0.30701754385964913
Introduction to Solid State Chemistry,"<p>In this course, we will explore what makes things in the world the way they are and why, to understand the science and consider the engineering. We learn not only why the physical world behaves the way it does, but also how to think with chemical intuition, which can’t be gained simply by observing the macroscopic world.</p>
<p>This 2018 version of 3.091 by Jeffrey Grossman and the 2010 OCW version by Don Sadoway cover similar topics and both provide complete learning materials. This 2018 version also includes Jeffrey Grossman’s innovative Goodie Bags, Why This Matters, and CHEMATLAS content, as well as additional practice problems, quizzes, and exams.</p>
",https://ocw.mit.edu/courses/3-091-introduction-to-solid-state-chemistry-fall-2018/,"['Engineering', 'Chemical Engineering', 'Materials Science and Engineering', 'Science', 'Chemistry']",38,14,713658,0.5877192982456141
