title,description,course_url,topics,available_videos,id
Public Transportation Systems,"This course discusses the evolution and role of urban public transportation modes, systems, and services, focusing on bus and rail. It covers various topics, including current practice and new methods for data collection and analysis, performance monitoring, route design, frequency determination, vehicle and crew scheduling, effect of pricing policy and service quality on ridership.",https://ocw.mit.edu/courses/1-258j-public-transportation-systems-spring-2017/,"['Engineering', 'Civil Engineering', 'Transportation Engineering', 'Social Science', 'Urban Studies', 'Transportation Planning']",17,1
Dynamics and Control I,"<p>This class is an introduction to the dynamics and vibrations of lumped-parameter models of mechanical systems. Topics include kinematics; force-momentum formulation for systems of particles and rigid bodies in planar motion; work-energy concepts; virtual displacements and virtual work; Lagrange’s equations for systems of particles and rigid bodies in planar motion; linearization of equations of motion; linear stability analysis of mechanical systems; free and forced vibration of linear multi-degree of freedom models of mechanical systems; and matrix eigenvalue problems. The class includes an introduction to numerical methods and using MATLAB® to solve dynamics and vibrations problems.</p>
<p>This version of the class stresses kinematics and builds around a strict but powerful approach to kinematic formulation which is different from the approach presented in Spring 2007. Our notation was adapted from that of Professor Kane of Stanford University.</p>
",https://ocw.mit.edu/courses/2-003j-dynamics-and-control-i-fall-2007/,"['Engineering', 'Mechanical Engineering', 'Dynamics and Control', 'Mathematics', 'Applied Mathematics']",9,2
Engineering Dynamics,"This course is an introduction to the dynamics and vibrations of lumped-parameter models of mechanical systems. Topics covered include kinematics, force-momentum formulation for systems of particles and rigid bodies in planar motion, work-energy concepts, virtual displacements and virtual work. Students will also become familiar with the following topics: Lagrange’s equations for systems of particles and rigid bodies in planar motion, and linearization of equations of motion. After this course, students will be able to evaluate free and forced vibration of linear multi-degree of freedom models of mechanical systems and matrix eigenvalue problems.",https://ocw.mit.edu/courses/2-003sc-engineering-dynamics-fall-2011/,"['Engineering', 'Mechanical Engineering', 'Solid Mechanics', 'Science', 'Physics', 'Classical Mechanics']",0,3
Engineering Math: Differential Equations and Linear Algebra,"This course is about the mathematics that is most widely used in the mechanical engineering core subjects: An introduction to linear algebra and ordinary differential equations (ODEs), including general numerical approaches to solving systems of equations.",https://ocw.mit.edu/courses/2-087-engineering-math-differential-equations-and-linear-algebra-fall-2014/,"['Engineering', 'Mechanical Engineering', 'Mathematics', 'Applied Mathematics', 'Differential Equations', 'Linear Algebra']",4,4
Nano-to-Macro Transport Processes,"Parallel treatments of photons, electrons, phonons, and molecules as energy carriers, aiming at fundamental understanding and descriptive tools for energy and heat transport processes from nanoscale continuously to macroscale. Topics include the energy levels, the statistical behavior and internal energy, energy transport in the forms of waves and particles, scattering and heat generation processes, Boltzmann equation and derivation of classical laws, deviation from classical laws at nanoscale and their appropriate descriptions, with applications in nano- and microtechnology.",https://ocw.mit.edu/courses/2-57-nano-to-macro-transport-processes-spring-2012/,"['Energy', 'Technology', 'Engineering', 'Mechanical Engineering', 'Nanotechnology', 'Science', 'Physics', 'Quantum Mechanics']",25,5
Fundamentals of Photovoltaics,"<p>Fundamentals of photoelectric conversion: charge excitation, conduction, separation, and collection. Lectures cover commercial and emerging photovoltaic technologies and cross-cutting themes, including conversion efficiencies, loss mechanisms, characterization, manufacturing, systems, reliability, life-cycle analysis, risk analysis, and technology evolution in the context of markets, policies, society, and environment.</p>
<p>This course is one of many <a href=""/courses/energy-courses/"">OCW Energy Courses</a>, and it is an elective subject in MIT’s undergraduate <a href=""http://mitei.mit.edu/education/energy-minor/"" target=""_blank"" rel=""noopener"">Energy Studies Minor</a>. This Institute–wide program complements the deep expertise obtained in any major with a broad understanding of the interlinked realms of science, technology, and social sciences as they relate to energy and associated environmental challenges.</p>
",https://ocw.mit.edu/courses/2-627-fundamentals-of-photovoltaics-fall-2013/,"['Business', 'Innovation', 'Energy', 'Electricity', 'Renewables', 'Engineering', 'Chemical Engineering', 'Transport Processes', 'Electrical Engineering', 'Electric Power', 'Materials Science and Engineering', 'Electronic Materials', 'Science', 'Physics', 'Atomic, Molecular, Optical Physics']",20,6
Optics,"This course provides an introduction to optical science with elementary engineering applications. Topics covered in geometrical optics include: ray-tracing, aberrations, lens design, apertures and stops, radiometry and photometry. Topics covered in wave optics include: basic electrodynamics, polarization, interference, wave-guiding, Fresnel and Fraunhofer diffraction, image formation, resolution, space-bandwidth product. Analytical and numerical tools used in optical design are emphasized. Graduate students are required to complete assignments with stronger analytical content, and an advanced design project.",https://ocw.mit.edu/courses/2-71-optics-spring-2009/,"['Science', 'Physics', 'Atomic, Molecular, Optical Physics', 'Electromagnetism', 'Quantum Mechanics']",23,7
Control of Manufacturing Processes (SMA 6303),"This course explores statistical modeling and control in manufacturing processes. Topics include the use of experimental design and response surface modeling to understand manufacturing process physics, as well as defect and parametric yield modeling and optimization. Various forms of process control, including statistical process control, run by run and adaptive control, and real-time feedback control, are covered. Application contexts include semiconductor manufacturing, conventional metal and polymer processing, and emerging micro-nano manufacturing processes.",https://ocw.mit.edu/courses/2-830j-control-of-manufacturing-processes-sma-6303-spring-2008/,"['Engineering', 'Chemical Engineering', 'Process Control Systems', 'Mechanical Engineering', 'Microtechnology', 'Nanotechnology', 'Systems Engineering', 'Mathematics', 'Probability and Statistics']",22,8
Special Topics in Mechanical Engineering: The Art and Science of Boat Design,"<p>This class is jointly sponsored by the MIT Museum, Massachusetts Bay Maritime Artisans, the Department of Mechanical Engineering’s Center for Ocean Engineering, and the Department of Architecture. The course teaches the fundamental steps in traditional boat design and demonstrates connections between craft and modern methods. Instructors provide vessel design orientation and then students carve their own shape ideas in the form of a wooden half-hull model. Experts teach the traditional skills of visualizing and carving your model in this phase of the class. After the models are completed, a practicing naval architect guides students in translating shape from models into a lines plan. The final phase of the class is a comparative analysis of the designs generated by the group.</p>
<p>This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.</p>
",https://ocw.mit.edu/courses/2-993-special-topics-in-mechanical-engineering-the-art-and-science-of-boat-design-january-iap-2007/,"['Engineering', 'Mechanical Engineering', 'Mechanical Design', 'Ocean Engineering']",5,9
Structure of Materials,"<p>Structure—or the arrangement of materials’ internal components—determines virtually everything about a material: its properties, its potential applications, and its performance within those applications. This three-part course explores the structure of a wide variety of materials with current-day engineering applications. Taken together, the three modules provide similar content to MIT’s sophomore-level materials structure curriculum.</p>
<p>Part 1 of the course introduces amorphous materials and explores glasses and polymers, the factors that influence their structure, and how materials scientists measure and describe the structure of these materials. Then we discuss what it means for a material to be crystalline, how we describe periodic arrangement of atoms in a crystal, and how we can determine the structure of crystals through x-ray diffraction. Parts 2 and 3 explore the structure of materials in further depth.</p>
<p>This course was organized as a three-part series on <a href=""https://www.edx.org/school/mitx"" target=""_blank"" rel=""noopener"">MITx</a>&nbsp;by MIT’s Department of Materials Science and Engineering and is now archived on the <a href=""https://openlearning.mit.edu/"" target=""_blank"" rel=""noopener"">Open Learning Library</a>, which is free to use. You have the option to sign up and enroll in each module if you want to track your progress, or you can view and use all the materials without enrolling.</p>
",https://ocw.mit.edu/courses/3-012sx-structure-of-materials-spring-2019/,"['Engineering', 'Materials Science and Engineering']",0,10
