course_id,video_number,video_id,mit_video_title,title_on_youtube,publishing_date,view_count,expected_views
102,1.0,ba-HMvDn_vU,LECTURE 1: INTRODUCTION,1. Introduction to the Human Brain,2021-10-27 14:21:01+00:00,10826025,10826025
160,1.0,wvXDB9dMdEo,"LECTURE 1: INTRODUCTION, FINANCIAL TERMS AND CONCEPTS","1. Introduction, Financial Terms and Concepts",2015-01-06 18:18:47+00:00,6743920,6743920
131,1.0,EH6vE97qIP4,SESSION 1: INTRODUCTION,"1. Introduction for 15.S12 Blockchain and Money, Fall 2018",2020-01-23 15:51:47+00:00,6678362,6678362
45,1.0,HtSuA80QTyo,"LECTURE 1: ALGORITHMIC THINKING, PEAK FINDING","Lecture 1: Algorithmic Thinking, Peak Finding",2013-01-14 20:26:48+00:00,5102611,5102611
53,1.0,L3LMbpZIKhQ,LECTURE 1: INTRODUCTION AND PROOFS,"Lec 1 | MIT 6.042J Mathematics for Computer Science, Fall 2010",2012-12-31 14:19:36+00:00,2267487,2267487
142,1.0,7K1sB05pE0A,LECTURE 1: RATE OF CHANGE,"Lec 1 | MIT 18.01 Single Variable Calculus, Fall 2007",2009-08-18 18:01:51+00:00,1892031,1892031
147,1.0,XDhJ8lVGbl8,"LECTURE 1: THE GEOMETRICAL VIEW OF Y'= F(X,Y)","Lec 1 | MIT 18.03 Differential Equations, Spring 2006",2008-01-16 22:38:15+00:00,1845599,1845599
158,1.0,VPZD_aij8H0,LECTURE 1: INTRODUCTION TO STATISTICS,1. Introduction to Statistics,2017-10-30 16:08:26+00:00,1753684,1753684
116,1.0,_OkTw766oCs,LECTURE 1: INTRODUCTION AND SUPPLY & DEMAND,1. Introduction and Supply & Demand,2020-07-16 23:07:11+00:00,1684994,1684994
48,1.0,TjZBTDzGeGg,LECTURE 1: INTRODUCTION AND SCOPE,1. Introduction and Scope,2014-01-10 19:40:27+00:00,1642156,1642156
145,1.0,PxCxlsl_YwY,LECTURE 1: DOT PRODUCT,"Lec 1: Dot product | MIT 18.02 Multivariable Calculus, Fall 2007",2009-01-16 19:38:33+00:00,1511777,1511777
31,1.0,kLqduWF6GXE,"LECTURE 1: STATE OF A SYSTEM, 0TH LAW, EQUATION OF STATE","Lec 1 | MIT 5.60 Thermodynamics & Kinetics, Spring 2008",2008-12-12 16:19:29+00:00,1448760,1448760
54,1.0,JPyuH4qXLZ0,"LECTURE 1: ADMINISTRIVIA; INTRODUCTION; ANALYSIS OF ALGORITHMS, INSERTION SORT, MERGESORT","Lec 1 | MIT 6.046J / 18.410J Introduction to Algorithms (SMA 5503), Fall 2005",2009-01-07 18:05:09+00:00,1414121,1414121
38,1.0,nykOeWgQcHM,LECTURE 1: WHAT IS COMPUTATION?,1. What is Computation?,2019-07-31 15:15:20+00:00,1386048,1386048
68,1.0,-pb3z2w9gDg,LECTURE 1: INTRODUCTION,1. Introduction to 'The Society of Mind',2014-03-04 19:17:29+00:00,1377816,1377816
149,1.0,J7DzL2_Na80,LECTURE 1: THE GEOMETRY OF LINEAR EQUATIONS,1. The Geometry of Linear Equations,2019-09-24 20:20:31+00:00,1299576,1299576
50,1.0,j9WZyLZCBzs,LECTURE 1: PROBABILITY MODELS AND AXIOMS,1. Probability Models and Axioms,2012-11-09 19:49:13+00:00,1121399,1121399
41,1.0,AfQxyVuLeCs,LECTURE 1: INTRODUCTION AND LUMPED ABSTRACTION,"Lec 1 | MIT 6.002 Circuits and Electronics, Spring 2007",2008-01-16 21:07:38+00:00,1006208,1006208
134,1.0,OTkq4OsG_Yc,INTRODUCTION TO POKER THEORY,Introduction to Poker Theory,2015-06-05 15:43:53+00:00,945732,945732
91,1.0,4RX_lpoGRBg,LECTURE 1: THERMODYNAMICS PART 1,1. Thermodynamics Part 1,2014-12-21 17:07:48+00:00,915728,915728
44,1.0,ZA-tUyM_y7s,LECTURE 1: ALGORITHMS AND COMPUTATION,1. Algorithms and Computation,2021-09-13 16:35:08+00:00,878165,878165
170,1.0,zvu9SoCyDec,LECTURE 18: WORD STRESS (CONT.); STRESS IN COMPOUNDS,"Session 1 | 21F.223 Listening, Speaking, and Pronunciation",2008-04-28 20:32:31+00:00,760383,760383
67,1.0,GqmQg-cszw4,"LECTURE 1: INTRODUCTION, THREAT MODELS","1. Introduction, Threat Models",2015-07-14 16:21:11+00:00,729640,729640
55,1.0,2P-yW7LQr08,"LECTURE 1: OVERVIEW, INTERVAL SCHEDULING","1. Course Overview, Interval Scheduling",2016-03-04 22:12:31+00:00,531241,531241
39,1.0,C1lhuz6pZC0,LECTURE 1: INTRODUCTION AND OPTIMIZATION PROBLEMS,"1. Introduction, Optimization Problems (MIT 6.0002 Intro to Computational Thinking and Data Science)",2017-05-19 15:55:26+00:00,472637,472637
224,1.0,KJnAy6hzetw,LECTURE 1: INTRODUCTION,"Lecture 1, Introduction | MIT RES.6.007 Signals and Systems, Spring 2011",2012-04-17 19:43:58+00:00,383439,383439
42,1.0,-FHm2pQmiSM,LECTURE 1: SIGNALS AND SYSTEMS,1. Signals and Systems,2013-03-15 11:16:25+00:00,373228,373228
61,1.0,KXFF8m4uGDc,LECTURE 1: INTRODUCTION,"Lec 1 | MIT 6.450 Principles of Digital Communications I, Fall 2006",2009-04-29 00:00:24+00:00,352179,352179
180,1.0,7LyvAVjQUR8,LECTURE 1: RADIATION HISTORY TO THE PRESENT—UNDERSTANDING THE DISCOVERY OF THE NEUTRON,1. Radiation History to the Present — Understanding the Discovery of the Neutron,2019-09-20 18:58:04+00:00,329085,329085
75,1.0,_m4Gvu90Ydw,LECTURE 1: INTRODUCTION,"Lec 1 | MIT 7.012 Introduction to Biology, Fall 2004",2008-01-17 22:22:40+00:00,312627,312627
66,1.0,T0yzrZL1py0,SESSION 1: PERSISTENT DATA STRUCTURES,1. Persistent Data Structures,2013-12-18 17:19:53+00:00,311626,311626
90,1.0,ANCN7vr9FVk,LECTURE 1: INFLATIONARY COSMOLOGY: IS OUR UNIVERSE PART OF A MULTIVERSE? PART I,1. Inflationary Cosmology: Is Our Universe Part of a Multiverse? Part I,2014-07-01 19:42:19+00:00,310686,310686
58,1.0,7CYXy9J4Aao,LECTURE 1: INTRODUCTION AND PROBABILITY REVIEW,1. Introduction and Probability Review,2012-06-29 19:44:57+00:00,305615,305615
120,1.0,K2LvCx8H0OU,LECTURE 1: INTRODUCTION,1. Introduction  (14.73 The Challenge of World Poverty),2013-02-11 15:42:55+00:00,302135,302135
27,1.0,-c-X8zk0ywo,LECTURE 1: THE IMPORTANCE OF CHEMICAL PRINCIPLES,1. The importance of chemical principles,2009-07-01 20:29:34+00:00,296600,296600
