video_titles,video_number,course_id,video_id,publishing_date,view_count,title_on_youtube,last_updated
LECTURE 1: INTRODUCTION,1.0,1,wzB8Rhm3xCU,2019-05-11T04:56:59Z,34224,"1. Introduction (for 1.258J Public Transportation Systems, Spring 2017)",2023-06-02 16:39:52.363448
LECTURE 2: DATA COLLECTION TECHNIQUES AND PROGRAM DESIGN,2.0,1,JPCA2qE9MSw,2019-05-11T04:58:28Z,11810,2. Data Collection Techniques and Program Design,2023-06-02 16:39:52.363448
LECTURE 3: MODAL CHARACTERISTICS AND ROLES,3.0,1,MlDdfgjpBe0,2019-05-11T04:58:46Z,2452,3. Modal Characteristics and Roles,2023-06-02 16:39:52.363448
LECTURE 4: SHORT-RANGE PLANNING—PART 1,4.0,1,h5x7-zejY8c,2019-05-11T04:59:15Z,2348,4. Short-range Planning,2023-06-02 16:39:52.363448
LECTURE 5: SHORT-RANGE PLANNING—PART 2,5.0,1,aLqEG43nKVE,2019-05-11T04:59:34Z,1124,5. Short-range Planning (cont.),2023-06-02 16:39:52.363448
LECTURE 6: MODAL CAPACITIES AND COSTS,6.0,1,dttSgzTJKK4,2019-05-11T04:59:57Z,966,6. Modal Capacities and Costs,2023-06-02 16:39:52.363448
LECTURE 7: COST ESTIMATION,7.0,1,YGpxOuDJdJw,2019-05-11T05:00:27Z,8141,7. Cost Estimation,2023-06-02 16:39:52.363448
LECTURE 8: RIDERSHIP FORECASTING,8.0,1,Wlz_17id1BM,2019-05-11T05:00:52Z,1831,8. Ridership Forecasting,2023-06-02 16:39:52.363448
LECTURE 9: PERFORMANCE MODELS,9.0,1,Tsn0xSQjo14,2019-05-11T05:01:30Z,1140,9. Performance Models,2023-06-02 16:39:52.363448
"LECTURE 10: ORIGIN, DESTINATION, AND TRANSFER INFERENCE",10.0,1,avWOCswUJyI,2019-05-11T05:01:53Z,1677,"10. Origin, Destination, and Transfer Inference",2023-06-02 16:39:52.363448
LECTURE 13: VEHICLE SCHEDULING,11.0,1,_FTwuE36SUA,2019-05-11T05:02:19Z,7877,13. Vehicle Scheduling,2023-06-02 16:39:52.363448
LECTURE 17: CUSTOMER INFORMATION STRATEGIES—GUEST LECTURE BY JOHN ATTANUCCI,12.0,1,mp7Nz8CUPBM,2019-05-11T05:02:45Z,856,17. Customer Information Strategies,2023-06-02 16:39:52.363448
LECTURE 19: TRANSIT SIGNAL PRIORITY—GUEST LECTURE BY PETER G. FURTH,13.0,1,K2g0trGAfgo,2019-05-11T05:03:23Z,2950,19. Transit Signal Priority,2023-06-02 16:39:52.363448
LECTURE 20: SERVICE RELIABILITY,14.0,1,I2K5WnG_TLs,2019-05-11T05:03:48Z,960,20. Transit Service Reliability,2023-06-02 16:39:52.363448
"LECTURE 21: FARE POLICY, STRUCTURE, AND TECHNOLOGY",15.0,1,CJehtdXHR7Q,2019-05-11T05:04:12Z,936,"21. Fare Policy, Structure, and Technology",2023-06-02 16:39:52.363448
LECTURE 22: WORKFORCE PLANNING,16.0,1,K7lqWX6fq-Q,2019-05-11T05:04:43Z,2655,22. Public Transportation Systems,2023-06-02 16:39:52.363448
LECTURE 24: BAUMOL'S DISEASE—GUEST LECTURE BY FREDERICK SALVUCCI,17.0,1,G1sBybS2M48,2019-05-11T05:05:08Z,3517,24. Baumol's Disease,2023-06-02 16:39:52.363448
LECTURE 1: COURSE INFORMATION; BEGIN KINEMATICS,1.0,2,K_6tRupDxF4,2014-03-25T15:12:27Z,39729,1. Course information; Begin kinematics,2023-06-02 16:39:52.363448
"LECTURE 2: THE ""SPIDER ON A FRISBEE"" PROBLEM",2.0,2,vIjmMUI2w4c,2014-03-25T15:12:27Z,20175,"2. The ""spider on a Frisbee"" problem",2023-06-02 16:39:52.363448
"LECTURE 3: PULLEY PROBLEM, ANGULAR VELOCITY, MAGIC FORMULA",3.0,2,PJ905OQGsBA,2014-03-25T15:12:27Z,16658,"3. Pulley problem, angular velocity, magic formula",2023-06-02 16:39:52.363448
