video_id,publishing_date,view_count,title_on_youtube
wzB8Rhm3xCU,2019-05-11T04:56:59Z,34224,"1. Introduction (for 1.258J Public Transportation Systems, Spring 2017)"
JPCA2qE9MSw,2019-05-11T04:58:28Z,11810,2. Data Collection Techniques and Program Design
MlDdfgjpBe0,2019-05-11T04:58:46Z,2452,3. Modal Characteristics and Roles
h5x7-zejY8c,2019-05-11T04:59:15Z,2348,4. Short-range Planning
aLqEG43nKVE,2019-05-11T04:59:34Z,1124,5. Short-range Planning (cont.)
dttSgzTJKK4,2019-05-11T04:59:57Z,966,6. Modal Capacities and Costs
YGpxOuDJdJw,2019-05-11T05:00:27Z,8141,7. Cost Estimation
Wlz_17id1BM,2019-05-11T05:00:52Z,1831,8. Ridership Forecasting
Tsn0xSQjo14,2019-05-11T05:01:30Z,1140,9. Performance Models
avWOCswUJyI,2019-05-11T05:01:53Z,1677,"10. Origin, Destination, and Transfer Inference"
_FTwuE36SUA,2019-05-11T05:02:19Z,7877,13. Vehicle Scheduling
mp7Nz8CUPBM,2019-05-11T05:02:45Z,856,17. Customer Information Strategies
K2g0trGAfgo,2019-05-11T05:03:23Z,2950,19. Transit Signal Priority
I2K5WnG_TLs,2019-05-11T05:03:48Z,960,20. Transit Service Reliability
CJehtdXHR7Q,2019-05-11T05:04:12Z,936,"21. Fare Policy, Structure, and Technology"
K7lqWX6fq-Q,2019-05-11T05:04:43Z,2655,22. Public Transportation Systems
G1sBybS2M48,2019-05-11T05:05:08Z,3517,24. Baumol's Disease
K_6tRupDxF4,2014-03-25T15:12:27Z,39729,1. Course information; Begin kinematics
vIjmMUI2w4c,2014-03-25T15:12:27Z,20175,"2. The ""spider on a Frisbee"" problem"
PJ905OQGsBA,2014-03-25T15:12:27Z,16658,"3. Pulley problem, angular velocity, magic formula"
K1pZ90xp2Gw,2014-03-25T15:12:27Z,15854,4. Magic and super-magic formulae
yYDEpATHF7o,2014-03-25T15:12:27Z,15237,"5. Super-magic formula, degrees of freedom, non-standard coordinates, kinematic constraints"
0nFNEpIYmk8,2014-03-25T15:12:27Z,9415,"7. Impulse, skier separation problem"
ejvzjQ1wQ-U,2014-03-25T15:12:27Z,9407,8. Single particle; Two particles
uhjq0UQqkVg,2014-03-25T15:12:27Z,10656,"9. Dumbbell problem, multiple particle systems, rigid bodies, derivation of torque = I*alpha"
5iTUUeKjiEM,2014-03-25T15:12:27Z,3059,"10. Three cases, rolling disc problem"
4X0SGGrXDiI,2015-01-15T19:03:22Z,174620,2. First-Order Equations
Gp94Hph_-BU,2015-01-15T19:04:06Z,21632,3. First-Order Equations (continued)
xvTYUnqn2wY,2015-01-15T19:04:20Z,26202,4. Second-Order Equations
aFx8dVLkrWs,2015-01-15T19:04:35Z,14003,5. Second-Order Equations (continued)
jisTDmIk3Nw,2013-01-16T18:44:15Z,149187,"1. Intro to Nanotechnology, Nanoscale Transport Phenomena"
XfWkgDLc4xA,2013-01-16T18:44:15Z,26360,"2. Characteristic Time and Length, Simple Kinetic Theory"
Hqm4Xc4212E,2013-01-16T18:44:16Z,80321,3. Schrödinger Equation and Material Waves
bESVLOTvijk,2013-01-16T18:44:15Z,46209,"4. Solutions to Schrödinger Equation, Energy Quantization"
NLDNfnRGWxI,2013-01-16T18:44:15Z,14878,5. Electronic Levels in One-Dimensional Lattice Chain
rfgaLeHq5f0,2013-01-16T18:44:15Z,13329,6. Crystal Bonding & Electronic Energy Levels in Crystals
lcVaTjSpn7Y,2013-01-16T18:44:15Z,49213,7. Phonon Energy Levels in Crystal and Crystal Structures
Ii6UtH6h2jY,2013-01-16T18:44:16Z,16091,8. Density of States and Statistical Distributions
D8icilnxcy4,2013-01-16T18:44:16Z,11331,9. Specific Heat and Planck's Law
7Ken5EC4OrU,2013-01-16T18:44:16Z,42869,10. Fundamental of Statistical Thermodynamics
LKNuAQWzWDE,2013-01-16T18:44:16Z,8283,11. Energy Transfer by Waves: Plane Waves
_DHlhTrlDxc,2013-01-16T18:44:15Z,9087,12. EM Waves: Reflection at a Single Interface
_i0yWRrEesM,2013-01-16T18:44:15Z,10499,13. EM Wave Propagation Through Thin Films & Multilayers
fat0ZKEDzSY,2013-01-16T18:44:15Z,5362,14. Wave Phenomena and Landauer Formalism
YHW7TwF00Rs,2013-01-16T18:44:16Z,11431,"15. Particle Description, Liouville & Boltzmann Equations"
zC78xmSbhAY,2013-01-16T18:44:16Z,22982,16. Fermi Golden Rule and Relaxation Time Approximation
fYNz3SsWf90,2013-01-16T18:44:16Z,25458,17. Solutions to Boltzmann Equation: Diffusion Laws
rEVqrE_7CqE,2013-01-16T18:44:16Z,19038,18. Electron Transport and Thermoelectric Effects
_ayCen0j-0w,2013-01-16T18:44:16Z,2775,"19. Classical Size Effects, Parallel Direction"
3oV1saJEZy8,2013-01-16T18:44:16Z,2526,"20. Classical Size Effects, Perpendicular Direction"
